"","group"
"BB.bump","G005"
"BB.vmaTf5","G005"
"FGSC_#107","G005"
"FGSC_#3174","G005"
"FGSC_#4908","G005"
"FGSC_10","G005"
"FGSC_1002","G005"
"FGSC_1003","G005"
"FGSC_1004","G005"
"FGSC_101","G005"
"FGSC_1010","G005"
"FGSC_1017","G005"
"FGSC_1021","G005"
"FGSC_10320_grape_(10-15)","G005"
"FGSC_10321_grape_(29-40)t","G005"
"FGSC_10322_grape_(4-9)t","G005"
"FGSC_10323_grape_(25-2)","G005"
"FGSC_10324_grape_(10-17)","G005"
"FGSC_10325_grape_(26-11)","G005"
"FGSC_10326_N._crassa","G004"
"FGSC_10327_N._crassa","G004"
"FGSC_10328_trk-1_(not_NCU06449)","G004"
"FGSC_10329_Potassium_retention","G004"
"FGSC_1034","G005"
"FGSC_1036","G005"
"FGSC_104","G005"
"FGSC_105","G005"
"FGSC_1056","G005"
"FGSC_106","G005"
"FGSC_10602","G005"
"FGSC_10606","G005"
"FGSC_10607","G005"
"FGSC_10756","G005"
"FGSC_1077","G005"
"FGSC_10770","G005"
"FGSC_10770_os-1_nic-1","G005"
"FGSC_10773","G005"
"FGSC_10984_Mauriceville","Outlier003"
"FGSC_10985","G001"
"FGSC_10986","G001"
"FGSC_10987","G005"
"FGSC_10988","G001"
"FGSC_10989","G001"
"FGSC_1113","G005"
"FGSC_11397","G005"
"FGSC_1162","G005"
"FGSC_1163","G005"
"FGSC_1169","G004"
"FGSC_11999","G005"
"FGSC_12","Outlier005"
"FGSC_1211","G005"
"FGSC_1212","G005"
"FGSC_1224","G005"
"FGSC_1227","G005"
"FGSC_1228","G005"
"FGSC_1233","G005"
"FGSC_1234","G005"
"FGSC_1235","G005"
"FGSC_1236","G005"
"FGSC_1237","G005"
"FGSC_13","G005"
"FGSC_1303","G005"
"FGSC_1328","G005"
"FGSC_1329","G005"
"FGSC_13495","G005"
"FGSC_13496","G005"
"FGSC_13497","G005"
"FGSC_1363","G004"
"FGSC_1367","G004"
"FGSC_137","G005"
"FGSC_1372","G005"
"FGSC_1373","G003"
"FGSC_1374","G004"
"FGSC_1376","G004"
"FGSC_1377","G004"
"FGSC_1378","G004"
"FGSC_1382","G004"
"FGSC_1384","G004"
"FGSC_1394","G004"
"FGSC_14","G005"
"FGSC_1400","G005"
"FGSC_1401","G004"
"FGSC_14201","G005"
"FGSC_1432","Outlier008"
"FGSC_1434","G005"
"FGSC_1458","G005"
"FGSC_1515","G005"
"FGSC_1516","G005"
"FGSC_1524","G005"
"FGSC_1528","G005"
"FGSC_1530","G005"
"FGSC_1531","G005"
"FGSC_1579","G005"
"FGSC_1580","G005"
"FGSC_1581","G005"
"FGSC_1582","G005"
"FGSC_1583","G005"
"FGSC_1585","G005"
"FGSC_1586","G005"
"FGSC_1587","G005"
"FGSC_1588","G005"
"FGSC_1589","G005"
"FGSC_1590","G005"
"FGSC_1592","G005"
"FGSC_1595","G005"
"FGSC_1596","G005"
"FGSC_1597","G005"
"FGSC_1598","G005"
"FGSC_1630","G005"
"FGSC_1631","G005"
"FGSC_1632","G005"
"FGSC_1633_col(D5)","G005"
"FGSC_1635_mo(M193-1)","G005"
"FGSC_1639_mo(NM216s)","G005"
"FGSC_1640_mo(D301)","G005"
"FGSC_1641_mo(P1417)","G005"
"FGSC_1643_col(P2615)","G005"
"FGSC_1645_mo(NM218)","G005"
"FGSC_1646_mo(NM220)","G005"
"FGSC_1647_mo(D309)","G005"
"FGSC_1650_mo(NM211)","G005"
"FGSC_1651_mo(NM219)","G005"
"FGSC_1658_mo(NM213t)","G005"
"FGSC_1659_mo(D306)","G005"
"FGSC_1660_mo(D314)","G005"
"FGSC_1661_mo(NM359)","G005"
"FGSC_1662_mo(P1898)","G005"
"FGSC_1663_mo(B107)","G005"
"FGSC_1664","G005"
"FGSC_1665","G005"
