"","group"
"FGSC_1666","G005"
"FGSC_1667","G005"
"FGSC_1668_mo(D318)","G005"
"FGSC_1671_mo(36703-4-20)","G005"
"FGSC_1672_mo(NM226)","G005"
"FGSC_1673","G005"
"FGSC_1674_mo(P1718)","G005"
"FGSC_1676_mo(NM201f)","G005"
"FGSC_1729","G005"
"FGSC_1735","G005"
"FGSC_1748","G005"
"FGSC_1749","G005"
"FGSC_1780","G004"
"FGSC_1781","G004"
"FGSC_17921","G005"
"FGSC_17966","G005"
"FGSC_185","G004"
"FGSC_1884","G005"
"FGSC_18899","G005"
"FGSC_18900","G005"
"FGSC_19","G005"
"FGSC_20000","G005"
"FGSC_2069","G004"
"FGSC_2137","G005"
"FGSC_215","G003"
"FGSC_2173","G005"
"FGSC_2174","G005"
"FGSC_2175","G005"
"FGSC_2177","G005"
"FGSC_2197","Outlier005"
"FGSC_2218","G004"
"FGSC_2219","G004"
"FGSC_2225","G001"
"FGSC_2239","G005"
"FGSC_2256","G005"
"FGSC_2261","G005"
"FGSC_2270","G005"
"FGSC_2271","G005"
"FGSC_2272","G005"
"FGSC_2282","G003"
"FGSC_2296","G005"
"FGSC_2319","G005"
"FGSC_2320","G005"
"FGSC_2323","G005"
"FGSC_2327","G005"
"FGSC_2328","G005"
"FGSC_2329","G005"
"FGSC_2339","G005"
"FGSC_2341","G005"
"FGSC_2342","G005"
"FGSC_2344","G005"
"FGSC_2345_un-12","G005"
"FGSC_2376","G005"
"FGSC_2384","G003"
"FGSC_2389","G005"
"FGSC_239","G005"
"FGSC_2391","G003"
"FGSC_2435","G005"
"FGSC_2462","G005"
"FGSC_2472","G005"
"FGSC_2474","G005"
"FGSC_25001","G005"
"FGSC_25002","G005"
"FGSC_25003","G005"
"FGSC_25004","G001"
"FGSC_25005","G001"
"FGSC_25006","G001"
"FGSC_25007","G001"
"FGSC_25008","G001"
"FGSC_25009","G001"
"FGSC_25010","G001"
"FGSC_25011","G005"
"FGSC_25012","G005"
"FGSC_25013","G005"
"FGSC_25014","G005"
"FGSC_25015","G001"
"FGSC_252","G005"
"FGSC_2530","G005"
"FGSC_2542","G005"
"FGSC_255","G005"
"FGSC_2579","G005"
"FGSC_2587","G005"
"FGSC_262","G005"
"FGSC_2637","G005"
"FGSC_2686","G004"
"FGSC_2688","G005"
"FGSC_2689","G005"
"FGSC_2692","G005"
"FGSC_2693","G005"
"FGSC_2696","G005"
"FGSC_2733","G005"
"FGSC_2734","G004"
"FGSC_2736","G005"
"FGSC_2737","G005"
"FGSC_2761","G005"
"FGSC_2762","G005"
"FGSC_2763","G005"
"FGSC_290","G005"
"FGSC_2962","G004"
"FGSC_2989","G005"
"FGSC_2999","G003"
"FGSC_3006","G005"
"FGSC_3007","G005"
"FGSC_305","G003"
"FGSC_309","G005"
"FGSC_3093","G005"
"FGSC_3114","G005"
"FGSC_3122","G005"
"FGSC_317","G003"
"FGSC_3182","G005"
"FGSC_322","G005"
"FGSC_323","G005"
"FGSC_3235","G005"
"FGSC_3236","G005"
"FGSC_3237","G005"
"FGSC_3238","G005"
"FGSC_3239","G005"
"FGSC_3240","G005"
"FGSC_3241","G005"
"FGSC_3243","G005"
"FGSC_3246","G005"
"FGSC_3270","G005"
"FGSC_3289","G005"
"FGSC_3304","G003"
"FGSC_3307","G005"
"FGSC_3320","G005"
"FGSC_336","G005"
"FGSC_3367","G005"
"FGSC_340","G005"
"FGSC_3424","G005"
"FGSC_3425","G005"
"FGSC_3443","G005"
"FGSC_3445","G005"
"FGSC_3456","G005"
"FGSC_3469","G005"
"FGSC_3474","G005"
"FGSC_3509","G005"
"FGSC_351","G005"
"FGSC_3510","G005"
"FGSC_352","G005"
"FGSC_353","G004"
"FGSC_3538","G005"
"FGSC_3559","G005"
"FGSC_3562","G005"
"FGSC_3564","G005"
"FGSC_3566","G005"
"FGSC_3600","G003"
"FGSC_3639","G005"
"FGSC_3641","G005"
"FGSC_3642","G005"
"FGSC_3643","G005"
"FGSC_3644","G005"
"FGSC_3645","G005"
"FGSC_3646","G005"
"FGSC_3647","G005"
"FGSC_3648","G005"
"FGSC_3650","G003"
"FGSC_3651","G005"
"FGSC_3737","G005"
"FGSC_3740","G005"
"FGSC_3768","G005"
"FGSC_3771","G005"
"FGSC_3775","G005"
"FGSC_3777","G005"
"FGSC_3778","G005"
"FGSC_3779","G005"
"FGSC_3780","G005"
"FGSC_3785","G005"
"FGSC_380","G005"
"FGSC_3825","G005"
"FGSC_3831","G005"
"FGSC_3834","G005"
"FGSC_385","Outlier008"
"FGSC_3859","G005"
"FGSC_386","G005"
"FGSC_3877","G005"
"FGSC_3896","G004"
"FGSC_3904","G003"
"FGSC_3905","G003"
"FGSC_3906","G003"
"FGSC_3907","G003"
"FGSC_392","Outlier010"
"FGSC_3921","G005"
"FGSC_3923","G005"
"FGSC_3925","G005"
"FGSC_3926","G005"
"FGSC_3954","G005"
"FGSC_3963","G005"
"FGSC_4010","G005"
"FGSC_4038","G005"
"FGSC_4041","G005"
"FGSC_4063","G005"
"FGSC_4069","G005"
"FGSC_4094","G005"
"FGSC_4102","G005"
"FGSC_4180","G005"
"FGSC_4181","G005"
"FGSC_4182","G005"
"FGSC_4183","G005"
"FGSC_4184","G005"
"FGSC_4185","G005"
"FGSC_4186","G005"
"FGSC_4187","G005"
"FGSC_4188","G005"
"FGSC_4189","G005"
"FGSC_419","G005"
"FGSC_420","G005"
"FGSC_4200","G005"
"FGSC_4211","G005"
"FGSC_4213","G005"
"FGSC_4215","G005"
"FGSC_4217","G005"
"FGSC_4218","G005"
"FGSC_4219","G005"
"FGSC_422","G005"
"FGSC_4223","G005"
"FGSC_4228","G005"
"FGSC_4230","G005"
"FGSC_4272","G003"
"FGSC_4279","G003"
"FGSC_4294","G005"
"FGSC_4295","G005"
"FGSC_4296","G005"
"FGSC_4297","G005"
"FGSC_4304","G005"
"FGSC_4305","G005"
"FGSC_4308","G005"
"FGSC_4309","G005"
"FGSC_4310","G005"
"FGSC_4311","G005"
"FGSC_4312","G005"
"FGSC_4313","G005"
"FGSC_4314","G005"
"FGSC_4315","G005"
"FGSC_4316","G005"
"FGSC_4324","G005"
"FGSC_4325_dgr(BE52)","G005"
"FGSC_4326_dgr(BE52)","G005"
"FGSC_4327_dgr(L1)","G005"
"FGSC_4329_dgr(L5)","G005"
"FGSC_4331_dgr(BEX5)","G004"
"FGSC_4332_dgr(BEX5)","G003"
"FGSC_4333_dgr(BEX6)","G004"
"FGSC_4335","G005"
"FGSC_4336","G005"
"FGSC_4440_ufa(P73B118)","G005"
"FGSC_4484","G001"
"FGSC_45","G005"
"FGSC_4530","G005"
"FGSC_4591","G005"
"FGSC_4592","G005"
"FGSC_4593","G005"
"FGSC_4594","G005"
"FGSC_4595","G005"
"FGSC_4596","G005"
"FGSC_4597","G005"
"FGSC_4598","G005"
"FGSC_4599","G005"
"FGSC_4600","G005"
"FGSC_4601","G005"
"FGSC_4602","G005"
"FGSC_4603","G005"
"FGSC_4604","G005"
"FGSC_4606","G005"
"FGSC_4647","G005"
"FGSC_4761","G003"
"FGSC_49","Outlier001"
"FGSC_4902","G005"
"FGSC_492","G004"
"FGSC_4924","G005"
"FGSC_50","G005"
"FGSC_502","G005"
"FGSC_506","Outlier011"
"FGSC_507","G005"
"FGSC_5076","G003"
"FGSC_5138","G005"
"FGSC_5167","G005"
"FGSC_5181","G005"
"FGSC_532","G005"
"FGSC_541","G005"
"FGSC_57","G005"
"FGSC_575","G005"
"FGSC_5785","G005"
"FGSC_58","G003"
"FGSC_5831","G005"
"FGSC_5858","G005"
"FGSC_5859","G005"
"FGSC_6016","G005"
"FGSC_6017","G005"
"FGSC_626","G005"
"FGSC_632","Outlier005"
"FGSC_633","Outlier005"
"FGSC_635","Outlier005"
"FGSC_64","G004"
"FGSC_6401","G005"
"FGSC_6435","G005"
"FGSC_6436","G005"
"FGSC_6440","G005"
"FGSC_6442","G005"
"FGSC_6443","G005"
"FGSC_6448","G005"
"FGSC_6449","G005"
"FGSC_6453","G005"
"FGSC_6454","G005"
"FGSC_6458","G005"
"FGSC_6659","G005"
"FGSC_670","G004"
"FGSC_689","G005"
"FGSC_690","G005"
"FGSC_6946","G005"
"FGSC_6952","G005"
"FGSC_7022","G005"
"FGSC_7035","G005"
"FGSC_7199","G005"
"FGSC_7289","G005"
"FGSC_7290","G005"
"FGSC_7299","G005"
"FGSC_7304","G005"
"FGSC_7328","G005"
"FGSC_7330","G005"
"FGSC_746","G004"
"FGSC_7512","G005"
"FGSC_7513","G005"
"FGSC_7514","G002"
"FGSC_7515","G002"
"FGSC_7516","G005"
"FGSC_7518","G002"
"FGSC_7519","G005"
"FGSC_7520","G002"
"FGSC_7521","G002"
"FGSC_7522","G002"
"FGSC_7523","G002"
"FGSC_7524","Outlier007"
"FGSC_7526","G002"
"FGSC_7527","G002"
"FGSC_7528_pen(JL261)","Outlier004"
"FGSC_7529_pen(JL261)","Outlier004"
"FGSC_7530","Outlier006"
"FGSC_7766","G005"
"FGSC_7782","G003"
"FGSC_7783","G003"
"FGSC_7784","G005"
"FGSC_781","G004"
"FGSC_7921","G005"
"FGSC_793","G005"
"FGSC_8199","Outlier001"
"FGSC_8201","Outlier001"
"FGSC_8204","Outlier001"
"FGSC_821","G005"
"FGSC_8252","G005"
"FGSC_8281_tns","G005"
"FGSC_8285","G004"
"FGSC_8287","G004"
"FGSC_8344","G005"
"FGSC_8372","G005"
"FGSC_853","Outlier002"
"FGSC_854","G005"
"FGSC_856","G005"
"FGSC_859","G005"
"FGSC_861","G005"
"FGSC_8930","G005"
"FGSC_8969","G005"
"FGSC_8971","G005"
"FGSC_931","Outlier009"
"FGSC_9367","G005"
"FGSC_9375","G003"
"FGSC_9382","G003"
"FGSC_939","Outlier011"
"FGSC_9414","G005"
"FGSC_9427","G003"
"FGSC_943","G005"
"FGSC_9433","G005"
"FGSC_9444","G005"
"FGSC_9581","G005"
"FGSC_96","G005"
"FGSC_9718","G005"
"FGSC_981","G005"
"FGSC_987","G005"
"FGSC_993","G005"
"FGSC_T96","G005"
