SRA_Run,Strain,BioSample,BioProject,Read_1,Read_2,Paired
SRR1800231,FGSC_3905,SAMN02821711,PRJNA250057,SRR1800231_1.fastq.gz,SRR1800231_2.fastq.gz,Y
SRR1799241,FGSC_1458,SAMN02822266,PRJNA250783,SRR1799241_1.fastq.gz,SRR1799241_2.fastq.gz,Y
SRR5829694,BB.vmaTf5,SAMN05444588,PRJNA335154,SRR5829694_1.fastq.gz,SRR5829694_2.fastq.gz,Y
SRR4143349,FGSC_10328_trk-1_(not_NCU06449),SAMN03159361,PRJNA265493,SRR4143349_1.fastq.gz,SRR4143349_2.fastq.gz,Y
SRR1798586,FGSC_25015,SAMN02821949,PRJNA251315,SRR1798586_1.fastq.gz,SRR1798586_2.fastq.gz,Y
SRR1798392,FGSC_3780,SAMN02821620,PRJNA251202,SRR1798392_1.fastq.gz,SRR1798392_2.fastq.gz,Y
SRR1798231,FGSC_492,SAMN02821390,PRJNA251130,SRR1798231_1.fastq.gz,SRR1798231_2.fastq.gz,Y
SRR4151293,FGSC_1645_mo(NM218),SAMN03159433,PRJNA265514,SRR4151293_1.fastq.gz,SRR4151293_2.fastq.gz,Y
SRR4069264,FGSC_3740,SAMN02910348,PRJNA249100,SRR4069264_1.fastq.gz,SRR4069264_2.fastq.gz,Y
SRR4142850,FGSC_1662_mo(P1898),SAMN03159455,PRJNA265590,SRR4142850_1.fastq.gz,SRR4142850_2.fastq.gz,Y
SRR1798278,FGSC_1373,SAMN02821648,PRJNA251138,SRR1798278_1.fastq.gz,SRR1798278_2.fastq.gz,Y
SRR4125628,FGSC_7515,SAMN02822050,PRJNA249954,SRR4125628_1.fastq.gz,SRR4125628_2.fastq.gz,Y
SRR1798443,FGSC_10987,SAMN02822081,PRJNA251255,SRR1798443_1.fastq.gz,SRR1798443_2.fastq.gz,Y
SRR1800219,FGSC_3644,SAMN02821667,PRJNA249971,SRR1800219_1.fastq.gz,SRR1800219_2.fastq.gz,Y
SRR1800275,FGSC_11999,SAMN02822342,PRJNA250213,SRR1800275_1.fastq.gz,SRR1800275_2.fastq.gz,Y
SRR4069230,FGSC_6401,SAMN02946272,PRJNA256792,SRR4069230_1.fastq.gz,SRR4069230_2.fastq.gz,Y
SRR1800261,FGSC_4597,SAMN02821968,PRJNA250131,SRR1800261_1.fastq.gz,SRR1800261_2.fastq.gz,Y
SRR1587821,FGSC_690,SAMN02822186,PRJNA249967,SRR1587821_1.fastq.gz,SRR1587821_2.fastq.gz,Y
SRR1587846,FGSC_1666,SAMN02821580,PRJNA249730,SRR1587846_1.fastq.gz,SRR1587846_2.fastq.gz,Y
SRR1800276,FGSC_13495,SAMN02822239,PRJNA250207,SRR1800276_1.fastq.gz,SRR1800276_2.fastq.gz,Y
SRR1797934,FGSC_2239,SAMN02910332,PRJNA250699,SRR1797934_1.fastq.gz,SRR1797934_2.fastq.gz,Y
SRR1587452,FGSC_4218,SAMN02822183,PRJNA249933,SRR1587452_1.fastq.gz,SRR1587452_2.fastq.gz,Y
SRR1800151,FGSC_215,SAMN02822018,PRJNA249806,SRR1800151_1.fastq.gz,SRR1800151_2.fastq.gz,Y
SRR1798235,FGSC_575,SAMN02822372,PRJNA251127,SRR1798235_1.fastq.gz,SRR1798235_2.fastq.gz,Y
SRR4142836,FGSC_1647_mo(D309),SAMN03159503,PRJNA265574,SRR4142836_1.fastq.gz,SRR4142836_2.fastq.gz,Y
SRR1800279,FGSC_14201,SAMN02821477,PRJNA250222,SRR1800279_1.fastq.gz,SRR1800279_2.fastq.gz,Y
SRR1587871,FGSC_2737,SAMN02822039,PRJNA249803,SRR1587871_1.fastq.gz,SRR1587871_2.fastq.gz,Y
SRR1800222,FGSC_3645,SAMN02821675,PRJNA249969,SRR1800222_1.fastq.gz,SRR1800222_2.fastq.gz,Y
SRR4063862,FGSC_2270,SAMN02910316,PRJNA250324,SRR4063862_1.fastq.gz,SRR4063862_2.fastq.gz,Y
SRR1800168,FGSC_1884,SAMN02822212,PRJNA249869,SRR1800168_1.fastq.gz,SRR1800168_2.fastq.gz,Y
SRR1587465,FGSC_7516,SAMN02821665,PRJNA249950,SRR1587465_1.fastq.gz,SRR1587465_2.fastq.gz,Y
SRR1800157,FGSC_1377,SAMN02821740,PRJNA249825,SRR1800157_1.fastq.gz,SRR1800157_2.fastq.gz,Y
SRR1797987,FGSC_3469,SAMN02910393,PRJNA250716,SRR1797987_1.fastq.gz,SRR1797987_2.fastq.gz,Y
SRR3490983,FGSC_8201,SAMN02822361,PRJNA250945,SRR3490983_1.fastq.gz,NONE,N
SRR1799238,FGSC_1236,SAMN02821525,PRJNA250745,SRR1799238_1.fastq.gz,SRR1799238_2.fastq.gz,Y
SRR1798022,FGSC_1021,SAMN02910326,PRJNA250637,SRR1798022_1.fastq.gz,SRR1798022_2.fastq.gz,Y
SRR1800184,FGSC_2962,SAMN02821739,PRJNA249893,SRR1800184_1.fastq.gz,SRR1800184_2.fastq.gz,Y
SRR4064253,FGSC_2737,SAMN02910277,PRJNA249098,SRR4064253_1.fastq.gz,SRR4064253_2.fastq.gz,Y
SRR1587659,FGSC_3923,SAMN02910395,PRJNA250750,SRR1587659_1.fastq.gz,SRR1587659_2.fastq.gz,Y
SRR1798053,FGSC_8287,SAMN02910306,PRJNA250818,SRR1798053_1.fastq.gz,SRR1798053_2.fastq.gz,Y
SRR1587464,FGSC_7514,SAMN02821999,PRJNA249946,SRR1587464_1.fastq.gz,SRR1587464_2.fastq.gz,Y
SRR3490961,FGSC_4484,SAMN02822360,PRJNA250902,SRR3490961_1.fastq.gz,NONE,N
SRR1800283,FGSC_18900,SAMN02821786,PRJNA250228,SRR1800283_1.fastq.gz,SRR1800283_2.fastq.gz,Y
SRR1797984,FGSC_3307,SAMN02910260,PRJNA250709,SRR1797984_1.fastq.gz,SRR1797984_2.fastq.gz,Y
SRR1587824,FGSC_939,SAMN02822210,PRJNA250034,SRR1587824_1.fastq.gz,SRR1587824_2.fastq.gz,Y
SRR4061910,FGSC_10986,SAMN02821473,PRJNA251257,SRR4061910_1.fastq.gz,SRR4061910_2.fastq.gz,Y
SRR1798052,FGSC_7766,SAMN02910387,PRJNA250811,SRR1798052_1.fastq.gz,SRR1798052_2.fastq.gz,Y
SRR4142855,FGSC_1676_mo(NM201f),SAMN03159412,PRJNA265606,SRR4142855_1.fastq.gz,SRR4142855_2.fastq.gz,Y
SRR1798224,FGSC_101,SAMN02821515,PRJNA251067,SRR1798224_1.fastq.gz,SRR1798224_2.fastq.gz,Y
SRR1798280,FGSC_1378,SAMN02821439,PRJNA251201,SRR1798280_1.fastq.gz,SRR1798280_2.fastq.gz,Y
SRR1799248,FGSC_1586,SAMN02822278,PRJNA250782,SRR1799248_1.fastq.gz,SRR1799248_2.fastq.gz,Y
SRR1800266,FGSC_4600,SAMN02821432,PRJNA250139,SRR1800266_1.fastq.gz,SRR1800266_2.fastq.gz,Y
SRR1799255,FGSC_1595,SAMN02821635,PRJNA250793,SRR1799255_1.fastq.gz,SRR1799255_2.fastq.gz,Y
SRR4142848,FGSC_1650_mo(NM211),SAMN03159305,PRJNA265573,SRR4142848_1.fastq.gz,SRR4142848_2.fastq.gz,Y
SRR1587934,FGSC_2763,SAMN02821914,PRJNA249807,SRR1587934_1.fastq.gz,SRR1587934_2.fastq.gz,Y
SRR1587935,FGSC_3182,SAMN02821736,PRJNA249808,SRR1587935_1.fastq.gz,SRR1587935_2.fastq.gz,Y
SRR1799234,FGSC_1228,SAMN02821834,PRJNA250747,SRR1799234_1.fastq.gz,SRR1799234_2.fastq.gz,Y
SRR1798520,FGSC_25003,SAMN02821547,PRJNA251288,SRR1798520_1.fastq.gz,SRR1798520_2.fastq.gz,Y
SRR1798523,FGSC_25002,SAMN02822115,PRJNA251289,SRR1798523_1.fastq.gz,SRR1798523_2.fastq.gz,Y
SRR1798438,FGSC_4316,SAMN02821647,PRJNA251253,SRR1798438_1.fastq.gz,SRR1798438_2.fastq.gz,Y
SRR1800263,FGSC_4599,SAMN02822333,PRJNA250137,SRR1800263_1.fastq.gz,SRR1800263_2.fastq.gz,Y
SRR1800154,FGSC_422,SAMN02821447,PRJNA249818,SRR1800154_1.fastq.gz,SRR1800154_2.fastq.gz,Y
SRR1800191,FGSC_3241,SAMN02821991,PRJNA249974,SRR1800191_1.fastq.gz,SRR1800191_2.fastq.gz,Y
SRR4143350,FGSC_10322_grape_(4-9)t,SAMN03159375,PRJNA265497,SRR4143350_1.fastq.gz,SRR4143350_2.fastq.gz,Y
SRR1799418,FGSC_2270,SAMN02822277,PRJNA250841,SRR1799418_1.fastq.gz,SRR1799418_2.fastq.gz,Y
SRR1800150,FGSC_420,SAMN02822197,PRJNA249812,SRR1800150_1.fastq.gz,SRR1800150_2.fastq.gz,Y
SRR1587820,FGSC_689,SAMN02946527,PRJNA256750,SRR1587820_1.fastq.gz,SRR1587820_2.fastq.gz,Y
SRR4025939,FGSC_7022,SAMN05518729,PRJNA337452,SRR4025939_1.fastq.gz,SRR4025939_2.fastq.gz,Y
SRR4025940,FGSC_7022,SAMN05518729,PRJNA337452,SRR4025940_1.fastq.gz,SRR4025940_2.fastq.gz,Y
SRR4069222,FGSC_290,SAMN02910410,PRJNA249097,SRR4069222_1.fastq.gz,SRR4069222_2.fastq.gz,Y
SRR1799246,FGSC_1582,SAMN02822265,PRJNA250774,SRR1799246_1.fastq.gz,SRR1799246_2.fastq.gz,Y
SRR1587841,FGSC_1664,SAMN02821732,PRJNA249742,SRR1587841_1.fastq.gz,SRR1587841_2.fastq.gz,Y
SRR1799254,FGSC_1592,SAMN02821465,PRJNA250786,SRR1799254_1.fastq.gz,SRR1799254_2.fastq.gz,Y
SRR1798277,FGSC_1374,SAMN02821902,PRJNA251144,SRR1798277_1.fastq.gz,SRR1798277_2.fastq.gz,Y
SRR1799245,FGSC_1581,SAMN02822016,PRJNA250795,SRR1799245_1.fastq.gz,SRR1799245_2.fastq.gz,Y
SRR1798573,FGSC_25011,SAMN02821663,PRJNA251306,SRR1798573_1.fastq.gz,SRR1798573_2.fastq.gz,Y
SRR4143346,FGSC_10320_grape_(10-15),SAMN03159419,PRJNA265490,SRR4143346_1.fastq.gz,SRR4143346_2.fastq.gz,Y
SRR1797983,FGSC_2989,SAMN02910336,PRJNA250697,SRR1797983_1.fastq.gz,SRR1797983_2.fastq.gz,Y
SRR1798227,FGSC_239,SAMN02821791,PRJNA251250,SRR1798227_1.fastq.gz,SRR1798227_2.fastq.gz,Y
SRR1800273,FGSC_10756,SAMN02822222,PRJNA250148,SRR1800273_1.fastq.gz,SRR1800273_2.fastq.gz,Y
SRR1798558,FGSC_25007,SAMN02821793,PRJNA251299,SRR1798558_1.fastq.gz,SRR1798558_2.fastq.gz,Y
SRR1799221,FGSC_351,SAMN02821568,PRJNA250888,SRR1799221_1.fastq.gz,SRR1799221_2.fastq.gz,Y
SRR4025959,FGSC_49,SAMN05519136,PRJNA337457,SRR4025959_1.fastq.gz,SRR4025959_2.fastq.gz,Y
SRR4025960,FGSC_49,SAMN05519136,PRJNA337457,SRR4025960_1.fastq.gz,SRR4025960_2.fastq.gz,Y
SRR3491015,FGSC_9427,SAMN02821517,PRJNA250951,SRR3491015_1.fastq.gz,NONE,N
SRR1587862,FGSC_2688,SAMN02821582,PRJNA249800,SRR1587862_1.fastq.gz,SRR1587862_2.fastq.gz,Y
SRR1798279,FGSC_1376,SAMN02822399,PRJNA251147,SRR1798279_1.fastq.gz,SRR1798279_2.fastq.gz,Y
SRR1798419,FGSC_4308,SAMN02822079,PRJNA251241,SRR1798419_1.fastq.gz,SRR1798419_2.fastq.gz,Y
SRR1797924,FGSC_1524,SAMN02946560,PRJNA250644,SRR1797924_1.fastq.gz,SRR1797924_2.fastq.gz,Y
SRR4069219,FGSC_8252,SAMN02910346,PRJNA249189,SRR4069219_1.fastq.gz,SRR4069219_2.fastq.gz,Y
SRR1587477,FGSC_7527,SAMN02822238,PRJNA250027,SRR1587477_1.fastq.gz,SRR1587477_2.fastq.gz,Y
SRR1587848,FGSC_1781,SAMN02821579,PRJNA249734,SRR1587848_1.fastq.gz,SRR1587848_2.fastq.gz,Y
SRR1587813,FGSC_392,SAMN02821576,PRJNA249860,SRR1587813_1.fastq.gz,SRR1587813_2.fastq.gz,Y
SRR4143347,FGSC_4440_ufa(P73B118),SAMN03159372,PRJNA265624,SRR4143347_1.fastq.gz,SRR4143347_2.fastq.gz,Y
SRR1797917,FGSC_1002,SAMN02910391,PRJNA250646,SRR1797917_1.fastq.gz,SRR1797917_2.fastq.gz,Y
SRR1799267,FGSC_2342,SAMN02821655,PRJNA250847,SRR1799267_1.fastq.gz,SRR1799267_2.fastq.gz,Y
SRR4143334,FGSC_4326_dgr(BE52),SAMN03159360,PRJNA265604,SRR4143334_1.fastq.gz,SRR4143334_2.fastq.gz,Y
SRR1587657,FGSC_1748,SAMN02910309,PRJNA250663,SRR1587657_1.fastq.gz,SRR1587657_2.fastq.gz,Y
SRR1797991,FGSC_3538,SAMN02910283,PRJNA250717,SRR1797991_1.fastq.gz,SRR1797991_2.fastq.gz,Y
SRR1800183,FGSC_6016,SAMN02821623,PRJNA249892,SRR1800183_1.fastq.gz,SRR1800183_2.fastq.gz,Y
SRR1798396,FGSC_3785,SAMN02822087,PRJNA251206,SRR1798396_1.fastq.gz,SRR1798396_2.fastq.gz,Y
SRR1800210,FGSC_3243,SAMN02821989,PRJNA249975,SRR1800210_1.fastq.gz,SRR1800210_2.fastq.gz,Y
SRR1797997,FGSC_3926,SAMN02910313,PRJNA250766,SRR1797997_1.fastq.gz,SRR1797997_2.fastq.gz,Y
SRR1587853,FGSC_2296,SAMN02822010,PRJNA249802,SRR1587853_1.fastq.gz,SRR1587853_2.fastq.gz,Y
SRR1798019,FGSC_5859,SAMN02910288,PRJNA250769,SRR1798019_1.fastq.gz,SRR1798019_2.fastq.gz,Y
SRR1797929,FGSC_1749,SAMN02910329,PRJNA250664,SRR1797929_1.fastq.gz,SRR1797929_2.fastq.gz,Y
SRR1587861,FGSC_2462,SAMN02822195,PRJNA249793,SRR1587861_1.fastq.gz,SRR1587861_2.fastq.gz,Y
SRR1800189,FGSC_3239,SAMN02822310,PRJNA249970,SRR1800189_1.fastq.gz,SRR1800189_2.fastq.gz,Y
SRR1800176,FGSC_2579,SAMN02821741,PRJNA249880,SRR1800176_1.fastq.gz,SRR1800176_2.fastq.gz,Y
SRR1797927,FGSC_1673,SAMN02910324,PRJNA250651,SRR1797927_1.fastq.gz,SRR1797927_2.fastq.gz,Y
SRR1797992,FGSC_3600,SAMN02910366,PRJNA250714,SRR1797992_1.fastq.gz,SRR1797992_2.fastq.gz,Y
SRR4024766,FGSC_305,SAMN05519209,PRJNA337125,SRR4024766_1.fastq.gz,SRR4024766_2.fastq.gz,Y
SRR1798212,FGSC_49,SAMN02821721,PRJNA251072,SRR1798212_1.fastq.gz,SRR1798212_2.fastq.gz,Y
SRR1798559,FGSC_25008,SAMN02822389,PRJNA251305,SRR1798559_1.fastq.gz,SRR1798559_2.fastq.gz,Y
SRR1587944,FGSC_3424,SAMN02821450,PRJNA249855,SRR1587944_1.fastq.gz,SRR1587944_2.fastq.gz,Y
SRR1800190,FGSC_3240,SAMN02821927,PRJNA249972,SRR1800190_1.fastq.gz,SRR1800190_2.fastq.gz,Y
SRR1800262,FGSC_4598,SAMN02821970,PRJNA250129,SRR1800262_1.fastq.gz,SRR1800262_2.fastq.gz,Y
SRR1798211,FGSC_14,SAMN02822373,PRJNA251073,SRR1798211_1.fastq.gz,SRR1798211_2.fastq.gz,Y
SRR4151349,FGSC_1659_mo(D306),SAMN03159430,PRJNA265593,SRR4151349_1.fastq.gz,SRR4151349_2.fastq.gz,Y
SRR1798006,FGSC_4647,SAMN02910258,PRJNA250753,SRR1798006_1.fastq.gz,SRR1798006_2.fastq.gz,Y
SRR1798055,FGSC_8969,SAMN02910388,PRJNA250816,SRR1798055_1.fastq.gz,SRR1798055_2.fastq.gz,Y
SRR1797935,FGSC_2329,SAMN02910362,PRJNA250696,SRR1797935_1.fastq.gz,SRR1797935_2.fastq.gz,Y
SRR1587863,FGSC_2689,SAMN02822165,PRJNA249794,SRR1587863_1.fastq.gz,SRR1587863_2.fastq.gz,Y
SRR1799270,FGSC_2761,SAMN02821864,PRJNA250842,SRR1799270_1.fastq.gz,SRR1799270_2.fastq.gz,Y
SRR1799226,FGSC_532,SAMN02821395,PRJNA250905,SRR1799226_1.fastq.gz,SRR1799226_2.fastq.gz,Y
SRR1587869,FGSC_2696,SAMN02821621,PRJNA249790,SRR1587869_1.fastq.gz,SRR1587869_2.fastq.gz,Y
SRR4069263,FGSC_6659,SAMN02910372,PRJNA249199,SRR4069263_1.fastq.gz,SRR4069263_2.fastq.gz,Y
SRR1799263,FGSC_2174,SAMN02822057,PRJNA250838,SRR1799263_1.fastq.gz,SRR1799263_2.fastq.gz,Y
SRR1800233,FGSC_3963,SAMN02821544,PRJNA250053,SRR1800233_1.fastq.gz,SRR1800233_2.fastq.gz,Y
SRR1798442,FGSC_10985,SAMN02821523,PRJNA251254,SRR1798442_1.fastq.gz,SRR1798442_2.fastq.gz,Y
SRR1798017,FGSC_5138,SAMN02910285,PRJNA250767,SRR1798017_1.fastq.gz,SRR1798017_2.fastq.gz,Y
SRR3492085,FGSC_T96,SAMN02821437,PRJNA250950,SRR3492085_1.fastq.gz,NONE,N
SRR1798372,FGSC_3771,SAMN02821943,PRJNA251199,SRR1798372_1.fastq.gz,SRR1798372_2.fastq.gz,Y
SRR1797985,FGSC_3289,SAMN02910364,PRJNA250704,SRR1797985_1.fastq.gz,SRR1797985_2.fastq.gz,Y
SRR1799233,FGSC_987,SAMN02822294,PRJNA250954,SRR1799233_1.fastq.gz,SRR1799233_2.fastq.gz,Y
SRR1798381,FGSC_3777,SAMN02821449,PRJNA251251,SRR1798381_1.fastq.gz,SRR1798381_2.fastq.gz,Y
SRR1799232,FGSC_853,SAMN02822279,PRJNA250949,SRR1799232_1.fastq.gz,SRR1799232_2.fastq.gz,Y
SRR1587832,FGSC_1227,SAMN02822173,PRJNA249732,SRR1587832_1.fastq.gz,SRR1587832_2.fastq.gz,Y
SRR1799239,FGSC_1237,SAMN02822246,PRJNA250778,SRR1799239_1.fastq.gz,SRR1799239_2.fastq.gz,Y
SRR1797916,FGSC_1003,SAMN02910452,PRJNA250652,SRR1797916_1.fastq.gz,SRR1797916_2.fastq.gz,Y
SRR1587815,FGSC_633,SAMN02822185,PRJNA249953,SRR1587815_1.fastq.gz,SRR1587815_2.fastq.gz,Y
SRR1800270,FGSC_5167,SAMN02822045,PRJNA250144,SRR1800270_1.fastq.gz,SRR1800270_2.fastq.gz,Y
SRR4142837,FGSC_1639_mo(NM216s),SAMN03159333,PRJNA265518,SRR4142837_1.fastq.gz,SRR4142837_2.fastq.gz,Y
SRR1800166,FGSC_1667,SAMN02821625,PRJNA249876,SRR1800166_1.fastq.gz,SRR1800166_2.fastq.gz,Y
SRR4142851,FGSC_1672_mo(NM226),SAMN03159369,PRJNA265608,SRR4142851_1.fastq.gz,SRR4142851_2.fastq.gz,Y
SRR1798237,FGSC_793,SAMN02821608,PRJNA251137,SRR1798237_1.fastq.gz,SRR1798237_2.fastq.gz,Y
SRR4025956,FGSC_1211,SAMN05519214,PRJNA337453,SRR4025956_1.fastq.gz,SRR4025956_2.fastq.gz,Y
SRR4025957,FGSC_1211,SAMN05519214,PRJNA337453,SRR4025957_1.fastq.gz,SRR4025957_2.fastq.gz,Y
SRR4025958,FGSC_1211,SAMN05519214,PRJNA337453,SRR4025958_1.fastq.gz,SRR4025958_2.fastq.gz,Y
SRR1587833,FGSC_1528,SAMN02821875,PRJNA249737,SRR1587833_1.fastq.gz,SRR1587833_2.fastq.gz,Y
SRR1587836,FGSC_1531,SAMN02821816,PRJNA249741,SRR1587836_1.fastq.gz,SRR1587836_2.fastq.gz,Y
SRR4069234,FGSC_6436,SAMN02910412,PRJNA249116,SRR4069234_1.fastq.gz,SRR4069234_2.fastq.gz,Y
SRR4064271,FGSC_4272,SAMN02910438,PRJNA249101,SRR4064271_1.fastq.gz,SRR4064271_2.fastq.gz,Y
SRR1798233,FGSC_506,SAMN02822328,PRJNA251125,SRR1798233_1.fastq.gz,SRR1798233_2.fastq.gz,Y
SRR4143336,FGSC_10326_N._crassa,SAMN03159317,PRJNA265504,SRR4143336_1.fastq.gz,SRR4143336_2.fastq.gz,Y
SRR4069225,FGSC_2530,SAMN02910405,PRJNA250335,SRR4069225_1.fastq.gz,SRR4069225_2.fastq.gz,Y
SRR1587948,FGSC_3456,SAMN02821945,PRJNA249846,SRR1587948_1.fastq.gz,SRR1587948_2.fastq.gz,Y
SRR1587847,FGSC_1780,SAMN02822175,PRJNA249731,SRR1587847_1.fastq.gz,SRR1587847_2.fastq.gz,Y
SRR1800238,FGSC_4183,SAMN02821542,PRJNA250061,SRR1800238_1.fastq.gz,SRR1800238_2.fastq.gz,Y
SRR1587462,FGSC_7512,SAMN02821922,PRJNA249962,SRR1587462_1.fastq.gz,SRR1587462_2.fastq.gz,Y
SRR4025952,FGSC_1363,SAMN05518734,PRJNA337123,SRR4025952_1.fastq.gz,SRR4025952_2.fastq.gz,Y
SRR1800172,FGSC_2474,SAMN02822184,PRJNA249885,SRR1800172_1.fastq.gz,SRR1800172_2.fastq.gz,Y
SRR1587943,FGSC_3367,SAMN02822048,PRJNA249854,SRR1587943_1.fastq.gz,SRR1587943_2.fastq.gz,Y
SRR1797932,FGSC_2175,SAMN02910259,PRJNA250654,SRR1797932_1.fastq.gz,SRR1797932_2.fastq.gz,Y
SRR4142842,FGSC_1661_mo(NM359),SAMN03159314,PRJNA265591,SRR4142842_1.fastq.gz,SRR4142842_2.fastq.gz,Y
SRR1587466,FGSC_7518,SAMN02821996,PRJNA249965,SRR1587466_1.fastq.gz,SRR1587466_2.fastq.gz,Y
SRR4063855,FGSC_2218,SAMN02910454,PRJNA250330,SRR4063855_1.fastq.gz,SRR4063855_2.fastq.gz,Y
SRR1798238,FGSC_981,SAMN02821391,PRJNA251143,SRR1798238_1.fastq.gz,SRR1798238_2.fastq.gz,Y
SRR1587473,FGSC_7524,SAMN02822228,PRJNA249955,SRR1587473_1.fastq.gz,SRR1587473_2.fastq.gz,Y
SRR4069237,FGSC_6442,SAMN02910440,PRJNA249122,SRR4069237_1.fastq.gz,SRR4069237_2.fastq.gz,Y
SRR1798583,FGSC_25013,SAMN02821661,PRJNA251312,SRR1798583_1.fastq.gz,SRR1798583_2.fastq.gz,Y
SRR4143343,FGSC_7529_pen(JL261),SAMN03159435,PRJNA265622,SRR4143343_1.fastq.gz,SRR4143343_2.fastq.gz,Y
SRR1799272,FGSC_3304,SAMN02946458,PRJNA256747,SRR1799272_1.fastq.gz,SRR1799272_2.fastq.gz,Y
SRR1799220,FGSC_262,SAMN02822330,PRJNA250840,SRR1799220_1.fastq.gz,SRR1799220_2.fastq.gz,Y
SRR1800187,FGSC_3235,SAMN02822054,PRJNA249890,SRR1800187_1.fastq.gz,SRR1800187_2.fastq.gz,Y
SRR5829695,BB.bump,SAMN05444122,PRJNA335153,SRR5829695_1.fastq.gz,SRR5829695_2.fastq.gz,Y
SRR1798574,FGSC_25012,SAMN02822017,PRJNA251313,SRR1798574_1.fastq.gz,SRR1798574_2.fastq.gz,Y
SRR4142846,FGSC_1658_mo(NM213t),SAMN03159413,PRJNA265571,SRR4142846_1.fastq.gz,SRR4142846_2.fastq.gz,Y
SRR1587951,FGSC_3648,SAMN02821856,PRJNA249868,SRR1587951_1.fastq.gz,SRR1587951_2.fastq.gz,Y
SRR4063853,FGSC_626,SAMN02910375,PRJNA249111,SRR4063853_1.fastq.gz,SRR4063853_2.fastq.gz,Y
SRR1799256,FGSC_1596,SAMN02821854,PRJNA250792,SRR1799256_1.fastq.gz,SRR1799256_2.fastq.gz,Y
SRR3492084,FGSC_10773,SAMN02821421,PRJNA250732,SRR3492084_1.fastq.gz,NONE,N
SRR1798253,FGSC_1372,SAMN02946270,PRJNA256716,SRR1798253_1.fastq.gz,SRR1798253_2.fastq.gz,Y
SRR1800272,FGSC_5076,SAMN02821433,PRJNA250153,SRR1800272_1.fastq.gz,SRR1800272_2.fastq.gz,Y
SRR1587937,FGSC_3237,SAMN02821533,PRJNA249815,SRR1587937_1.fastq.gz,SRR1587937_2.fastq.gz,Y
SRR1800164,FGSC_1372,SAMN02822182,PRJNA249875,SRR1800164_1.fastq.gz,SRR1800164_2.fastq.gz,Y
SRR1587947,FGSC_3445,SAMN02821617,PRJNA249847,SRR1587947_1.fastq.gz,SRR1587947_2.fastq.gz,Y
SRR4061905,FGSC_10984_Mauriceville,SAMN02821826,PRJNA251242,SRR4061905_1.fastq.gz,SRR4061905_2.fastq.gz,Y
SRR1799269,FGSC_2472,SAMN02821865,PRJNA250834,SRR1799269_1.fastq.gz,SRR1799269_2.fastq.gz,Y
SRR4025954,FGSC_3562,SAMN05519139,PRJNA337493,SRR4025954_1.fastq.gz,SRR4025954_2.fastq.gz,Y
