SRA_Run,Strain,BioSample,BioProject,Read_1,Read_2,Paired
SRR3490940,FGSC_3834,SAMN02822290,PRJNA250900,SRR3490940_1.fastq.gz,NONE,N
SRR1798429,FGSC_4311,SAMN02822388,PRJNA251247,SRR1798429_1.fastq.gz,SRR1798429_2.fastq.gz,Y
SRR1798002,FGSC_4530,SAMN02910284,PRJNA250768,SRR1798002_1.fastq.gz,SRR1798002_2.fastq.gz,Y
SRR1587793,FGSC_19,SAMN02821403,PRJNA249746,SRR1587793_1.fastq.gz,SRR1587793_2.fastq.gz,Y
SRR1587460,FGSC_7289,SAMN02821892,PRJNA249964,SRR1587460_1.fastq.gz,SRR1587460_2.fastq.gz,Y
SRR1800256,FGSC_4594,SAMN02822224,PRJNA250143,SRR1800256_1.fastq.gz,SRR1800256_2.fastq.gz,Y
SRR1587829,FGSC_1212,SAMN02821607,PRJNA249729,SRR1587829_1.fastq.gz,SRR1587829_2.fastq.gz,Y
SRR1588070,FGSC_#3174,SAMN02821414,PRJNA250433,SRR1588070_1.fastq.gz,SRR1588070_2.fastq.gz,Y
SRR1799224,FGSC_385,SAMN02822263,PRJNA250901,SRR1799224_1.fastq.gz,SRR1799224_2.fastq.gz,Y
SRR1800223,FGSC_3646,SAMN02822042,PRJNA249968,SRR1800223_1.fastq.gz,SRR1800223_2.fastq.gz,Y
SRR4069246,FGSC_1516,SAMN02910402,PRJNA250323,SRR4069246_1.fastq.gz,SRR4069246_2.fastq.gz,Y
SRR3492083,FGSC_10770,SAMN02822250,PRJNA250727,SRR3492083_1.fastq.gz,NONE,N
SRR1797906,FGSC_931,SAMN02910328,PRJNA250647,SRR1797906_1.fastq.gz,SRR1797906_2.fastq.gz,Y
SRR4025963,FGSC_96,SAMN05518737,PRJNA337381,SRR4025963_1.fastq.gz,SRR4025963_2.fastq.gz,Y
SRR1798241,FGSC_1077,SAMN02821482,PRJNA251128,SRR1798241_1.fastq.gz,SRR1798241_2.fastq.gz,Y
SRR1797996,FGSC_3925,SAMN02910394,PRJNA250751,SRR1797996_1.fastq.gz,SRR1797996_2.fastq.gz,Y
SRR1797998,FGSC_4010,SAMN02910338,PRJNA250764,SRR1797998_1.fastq.gz,SRR1797998_2.fastq.gz,Y
SRR4069221,FGSC_6435,SAMN02910320,PRJNA249115,SRR4069221_1.fastq.gz,SRR4069221_2.fastq.gz,Y
SRR1800182,FGSC_2736,SAMN02821974,PRJNA249887,SRR1800182_1.fastq.gz,SRR1800182_2.fastq.gz,Y
SRR1798426,FGSC_4312,SAMN02822390,PRJNA251249,SRR1798426_1.fastq.gz,SRR1798426_2.fastq.gz,Y
